กัมพูชา,งานแสดงสินค้า/นิทรรศการ,"4,050","1,471","2,006","1,931","1,921",180,"1,126","1,971","1,531",242,
กัมพูชา,การศึกษา, - , - , - , - , - ,"1,774","3,161","6,108","9,788","1,664",
กัมพูชา,การจ้างแรงงาน, - , - , - , - , - ,303,633, - , - , - ,
กัมพูชา,การขนส่ง, - , - , - , - , - ,"3,598","5,085","4,793", - , - ,
กัมพูชา,การกีฬา, - , - , - , - , - , - , - ,"2,559","10,861","1,949",
กัมพูชา,ทางการแพทย์, - , - , - , - , - , - , - ,"8,701","28,010","6,596",
กัมพูชา,อื่น ๆ,"34,748","90,639","94,413","111,271","96,896","17,733","28,011","30,025","55,125","4,613",
อินโดนีเซีย,รวม,"370,681","449,360","595,015","495,662","470,820","558,499","594,060","644,479","706,908","96,993",
อินโดนีเซีย,ท่องเที่ยว,"186,578","370,910","491,028","403,286","380,605","491,004","516,242","565,927","611,680","87,641",
อินโดนีเซีย,ธุรกิจ, - , - , - , - , - ,"16,294","16,679","19,988","19,639","2,199",
อินโดนีเซีย,ประชุมของหน่วยงาน,"34,400","24,100","32,165","29,032","26,341","16,754","18,022","18,241","23,691","2,078",
อินโดนีเซีย,ประชุมเชิงธุรกิจ,"41,804",677,"1,725","1,325","1,986",746,"1,613","1,032","1,093",95,
อินโดนีเซีย,ประชุมของสมาคม,"75,585","4,212","4,278","3,395","4,332","3,122","3,888","3,254","4,578",268,
อินโดนีเซีย,งานแสดงสินค้า/นิทรรศการ,791,"1,988","3,313","3,211","3,940","2,194","2,930","2,842","3,366",414,
อินโดนีเซีย,การศึกษา, - , - , - , - , - ,"9,498","11,829","10,735","13,264","1,524",
อินโดนีเซีย,การจ้างแรงงาน, - , - , - , - , - ,"2,396","2,765", - , - , - ,
อินโดนีเซีย,การขนส่ง, - , - , - , - , - ,"7,101","9,663","8,812", - , - ,
อินโดนีเซีย,การกีฬา, - , - , - , - , - , - , - ,"1,994","5,197",934,
อินโดนีเซีย,ทางการแพทย์, - , - , - , - , - , - , - ,531,"2,255",270,
อินโดนีเซีย,อื่น ๆ,"31,523","47,473","62,506","55,413","53,616","9,390","10,429","11,123","22,145","1,570",
ลาว,รวม,"895,359","981,081","984,886","1,063,736","1,230,521","1,414,916","1,692,866","1,682,304","1,856,762","382,246",
ลาว,ท่องเที่ยว,"364,365","760,447","778,251","907,908","1,054,755","1,352,526","1,565,226","1,569,825","1,713,062","363,662",
ลาว,ธุรกิจ, - , - , - , - , - ,"1,349","4,484","38,168","41,534","2,203",
ลาว,ประชุมของหน่วยงาน,"157,653","58,627","43,822","31,983","45,498","1,460","2,716","5,139","8,824","1,955",
ลาว,ประชุมเชิงธุรกิจ,"105,944","1,936",912,469,680,12,"2,851","2,426","2,327",625,
ลาว,ประชุมของสมาคม,"161,516","5,617","2,036","2,380","2,627",77,358,"2,310","1,812",253,
ลาว,งานแสดงสินค้า/นิทรรศการ,"13,568","5,675",818,969,"7,093",12,"2,074","2,326","3,508","1,985",
ลาว,การศึกษา, - , - , - , - , - ,"1,285","7,677","4,378","10,259","1,959",
ลาว,การจ้างแรงงาน, - , - , - , - , - ,"8,147","3,530", - , - , - ,
ลาว,การขนส่ง, - , - , - , - , - ,"10,219","31,488","12,172", - , - ,
ลาว,การกีฬา, - , - , - , - , - , - , - ,"1,809","4,399","1,931",
ลาว,ทางการแพทย์, - , - , - , - , - , - , - ,"6,370","19,567","3,880",
ลาว,อื่น ๆ,"92,313","148,779","159,047","120,027","119,868","39,829","72,462","37,381","51,470","3,793",
มาเลเซีย,รวม,"2,492,034","2,546,072","3,031,072","2,603,671","3,407,553","3,506,199","3,493,112","4,042,998","4,274,458","612,922",
มาเลเซีย,ท่องเที่ยว,"1,323,271","2,345,595","2,788,373","2,438,091","3,136,406","3,398,725","3,334,973","3,857,884","4,060,505","589,548",
มาเลเซีย,ธุรกิจ, - , - , - , - , - ,"43,939","52,493","65,264","66,579","8,258",
มาเลเซีย,ประชุมของหน่วยงาน,"491,436","50,142","64,805","42,891","72,607","26,287","36,931","43,434","47,327","5,250",
มาเลเซีย,ประชุมเชิงธุรกิจ,"391,750","1,056","3,007","2,091","4,900",844,"8,749","3,484","3,987",322,
มาเลเซีย,ประชุมของสมาคม,"99,155","7,089","6,272","2,787","10,563","3,882","6,549","7,234","8,697",965,
มาเลเซีย,งานแสดงสินค้า/นิทรรศการ,"4,691","4,310","6,010","3,006","11,023","2,790","6,018","8,781","6,608",589,
มาเลเซีย,การศึกษา, - , - , - , - , - ,"4,204","12,536","8,919","8,840","1,238",
มาเลเซีย,การจ้างแรงงาน, - , - , - , - , - ,"6,853","10,166", - , - , - ,
มาเลเซีย,การขนส่ง, - , - , - , - , - ,"8,044","11,517","12,387", - , - ,
มาเลเซีย,การกีฬา, - , - , - , - , - , - , - ,"9,571","29,817","1,870",
มาเลเซีย,ทางการแพทย์, - , - , - , - , - , - , - ,"2,286","3,902",534,
มาเลเซีย,อื่น ๆ,"181,731","137,880","162,605","114,805","172,054","10,631","13,180","23,754","38,196","4,348",
พม่า,รวม,"111,545","129,714","173,272","207,749","263,422","363,871","387,722","379,880","389,301","54,941",
พม่า,ท่องเที่ยว,"50,806","76,616","105,177","125,681","185,984","280,779","298,092","298,289","296,838","43,631",
พม่า,ธุรกิจ, - , - , - , - , - ,"13,419","14,009","19,253","10,682","1,109",
พม่า,ประชุมของหน่วยงาน,"12,494","6,782","8,645","11,460","11,602","8,961","9,628","9,468","9,974",760,
พม่า,ประชุมเชิงธุรกิจ,"29,471",154,443,276,569,397,814,"1,131","1,015",51,
พม่า,ประชุมของสมาคม,"4,868",457,858,"1,363","1,302","1,270",810,"1,058","1,014",99,
พม่า,งานแสดงสินค้า/นิทรรศการ,439,556,"1,220",876,"1,243",917,"1,421","1,524","1,482",212,
พม่า,การศึกษา, - , - , - , - , - ,"6,609","8,573","7,647","6,874","1,162",
พม่า,การจ้างแรงงาน, - , - , - , - , - ,"2,338","2,475", - , - , - ,
พม่า,การขนส่ง, - , - , - , - , - ,"7,115","6,654","7,173", - , - ,
พม่า,การกีฬา, - , - , - , - , - , - , - ,"1,291","5,192",589,
พม่า,ทางการแพทย์, - , - , - , - , - , - , - ,"8,568","24,561","5,189",
พม่า,อื่น ๆ,"13,467","45,149","56,929","68,093","62,722","42,066","45,246","24,478","31,669","2,139",
ฟิลิปปินส์,รวม,"262,839","280,585","315,040","296,339","301,297","323,860","361,218","407,832","473,565","68,359",
ฟิลิปปินส์,ท่องเที่ยว,"125,978","216,327","243,034","234,023","227,597","254,053","270,847","328,904","366,337","59,639",
ฟิลิปปินส์,ธุรกิจ, - , - , - , - , - ,"12,684","15,070","17,691","15,425","1,221",
ฟิลิปปินส์,ประชุมของหน่วยงาน,"29,612","9,426","8,772","8,719","10,338","6,887","7,560","6,821","9,583",534,
ฟิลิปปินส์,ประชุมเชิงธุรกิจ,"42,465",798,785,"1,056","1,839","1,742","3,237","4,974","6,221",330,
ฟิลิปปินส์,ประชุมของสมาคม,"43,568","9,801","6,141","4,754","9,961","8,930","12,021","7,168","11,639",315,
