ประเทศ,การจัดเตรียมการเดินทาง,2554,2555,2556,2557,2558,2559,2560,2561,2562,2563
ฮ่องกง,เดินทางด้วยตัวเอง,"418,762","478,766","553,195","438,721","580,046","538,347","655,644","887,016","890,743","104,476"
ญี่ปุ่น,รวม,"1,103,073","1,341,063","1,515,718","1,254,858","1,349,388","1,416,903","1,525,707","1,642,712","1,787,185","314,044"
ญี่ปุ่น,เดินทางเป็นกลุ่ม,"205,741","301,023","391,429","210,132","209,085","205,395","222,195","254,576","284,662","59,063"
ญี่ปุ่น,เดินทางด้วยตัวเอง,"897,332","1,040,040","1,124,289","1,044,726","1,140,303","1,211,508","1,303,512","1,388,136","1,502,523","254,981"
เกาหลี,รวม,"1,001,105","1,153,457","1,292,335","1,109,429","1,359,211","1,449,617","1,698,608","1,785,147","1,880,465","262,313"
เกาหลี,เดินทางเป็นกลุ่ม,"507,976","579,317","622,023","462,913","504,652","523,605","621,437","656,858","670,918","87,094"
เกาหลี,เดินทางด้วยตัวเอง,"493,129","574,140","670,312","646,516","854,559","926,012","1,077,171","1,128,289","1,209,547","175,219"
ไต้หวัน,รวม,"449,346","393,335","503,894","388,425","545,560","513,528","560,441","674,172","781,674","114,275"
ไต้หวัน,เดินทางเป็นกลุ่ม,"151,065","101,247","132,161","64,742","88,423","113,820","115,295","143,524","184,277","31,492"
ไต้หวัน,เดินทางด้วยตัวเอง,"298,281","292,088","371,733","323,683","457,137","399,708","445,146","530,648","597,397","82,783"
ยุโรป,รวม,"4,933,434","5,454,494","6,155,582","6,028,171","5,476,781","6,008,398","6,322,166","6,603,695","6,531,220","2,051,738"
ยุโรป,เดินทางเป็นกลุ่ม,"841,528","1,057,933","1,288,034","1,221,235","783,908","1,075,332","1,105,759","1,130,591","1,241,742","411,422"
ยุโรป,เดินทางด้วยตัวเอง,"4,091,906","4,396,561","4,867,548","4,806,936","4,692,873","4,933,066","5,216,407","5,473,104","5,289,478","1,640,316"
ออสเตรีย,รวม,"86,987","92,550","104,359","98,355","94,878","97,989","104,220","114,768","110,690","34,599"
ออสเตรีย,เดินทางเป็นกลุ่ม,"6,996","8,599","12,217","14,927","10,431","12,164","10,539","10,384","14,102","4,170"
ออสเตรีย,เดินทางด้วยตัวเอง,"79,991","83,951","92,142","83,428","84,447","85,825","93,681","104,384","96,588","30,429"
เบลเยียม,รวม,"82,699","94,134","101,147","99,784","107,695","112,140","112,635","116,346","114,016","25,872"
เบลเยียม,เดินทางเป็นกลุ่ม,"8,684","9,940","11,394","12,195","12,778","12,660","10,015","13,296","17,033","3,609"
เบลเยียม,เดินทางด้วยตัวเอง,"74,015","84,194","89,753","87,589","94,917","99,480","102,620","103,050","96,983","22,263"
เดนมาร์ก,รวม,"159,620","162,022","159,629","158,275","159,420","163,406","157,923","170,044","159,526","62,962"
เดนมาร์ก,เดินทางเป็นกลุ่ม,"19,898","22,559","22,974","24,768","26,001","29,411","23,496","22,661","26,970","11,050"
เดนมาร์ก,เดินทางด้วยตัวเอง,"139,722","139,463","136,655","133,507","133,419","133,995","134,427","147,383","132,556","51,912"
ฟินแลนด์,รวม,"154,002","151,516","138,829","139,715","135,107","131,207","138,926","135,384","125,490","57,927"
ฟินแลนด์,เดินทางเป็นกลุ่ม,"20,145","22,288","18,360","21,794","21,984","25,214","26,627","24,287","22,892","12,309"
ฟินแลนด์,เดินทางด้วยตัวเอง,"133,857","129,228","120,469","117,921","113,123","105,993","112,299","111,097","102,598","45,618"
ฝรั่งเศส,รวม,"484,602","538,327","580,062","607,087","648,382","697,738","693,426","724,350","713,405","231,614"
ฝรั่งเศส,เดินทางเป็นกลุ่ม,"41,652","59,122","60,616","73,365","60,483","100,534","84,294","100,404","111,432","36,538"
ฝรั่งเศส,เดินทางด้วยตัวเอง,"442,950","479,205","519,446","533,722","587,899","597,204","609,132","623,946","601,973","195,076"
เยอรมนี,รวม,"603,979","663,611","723,711","698,129","746,135","825,496","837,318","872,185","836,926","231,260"
เยอรมนี,เดินทางเป็นกลุ่ม,"46,488","52,418","78,368","71,701","68,148","100,896","82,586","81,452","101,615","26,591"
เยอรมนี,เดินทางด้วยตัวเอง,"557,491","611,193","645,343","626,428","677,987","724,600","754,732","790,733","735,311","204,669"
ไอร์แลนด์,รวม, - , - , - , - , - ,"59,557","59,500","58,677","54,344","9,714"
ไอร์แลนด์,เดินทางเป็นกลุ่ม, - , - , - , - , - ,"9,732","5,445","4,262","6,900",884
ไอร์แลนด์,เดินทางด้วยตัวเอง, - , - , - , - , - ,"49,825","54,055","54,415","47,444","8,830"
อิตาลี,รวม,"174,902","187,552","197,232","211,833","231,429","248,903","244,982","263,515","250,870","58,327"
อิตาลี,เดินทางเป็นกลุ่ม,"16,102","21,811","24,270","27,354","24,730","26,761","25,904","30,734","36,949","9,177"
อิตาลี,เดินทางด้วยตัวเอง,"158,800","165,741","172,962","184,479","206,699","222,142","219,078","232,781","213,921","49,150"
เนเธอร์แลนด์,รวม,"189,727","197,721","209,659","204,237","214,945","228,443","215,433","226,618","230,006","50,441"
เนเธอร์แลนด์,เดินทางเป็นกลุ่ม,"18,017","21,114","22,040","27,105","24,462","24,200","17,389","22,719","28,154","4,880"
เนเธอร์แลนด์,เดินทางด้วยตัวเอง,"171,710","176,607","187,619","177,132","190,483","204,243","198,044","203,899","201,852","45,561"
นอร์เวย์,รวม,"137,066","148,689","154,398","146,424","138,024","134,335","130,200","133,020","130,509","39,082"
นอร์เวย์,เดินทางเป็นกลุ่ม,"10,553","11,789","14,649","15,999","15,084","13,706","11,347","11,583","16,038","4,791"
นอร์เวย์,เดินทางด้วยตัวเอง,"126,513","136,900","139,749","130,425","122,940","120,629","118,853","121,437","114,471","34,291"
รัสเซีย,รวม,"1,052,361","1,311,358","1,745,779","1,596,542","877,120","1,085,890","1,340,376","1,466,457","1,481,837","586,381"
รัสเซีย,เดินทางเป็นกลุ่ม,"477,027","610,596","760,594","635,773","248,619","397,602","511,608","513,061","483,859","189,277"
รัสเซีย,เดินทางด้วยตัวเอง,"575,334","700,762","985,185","960,769","628,501","688,288","828,768","953,396","997,978","397,104"
สเปน,รวม,"97,149","113,878","123,985","116,414","147,380","168,264","178,954","176,597","186,969","26,499"
สเปน,เดินทางเป็นกลุ่ม,"11,910","21,125","21,306","21,688","28,741","27,735","26,557","27,340","32,578","4,244"
สเปน,เดินทางด้วยตัวเอง,"85,239","92,753","102,679","94,726","118,639","140,529","152,397","149,257","154,391","22,255"
สวีเดน,รวม,"369,144","356,791","338,304","320,617","317,792","329,070","317,797","304,206","279,451","108,921"
สวีเดน,เดินทางเป็นกลุ่ม,"37,884","32,524","36,560","37,196","34,882","50,686","38,633","26,787","30,978","13,521"
สวีเดน,เดินทางด้วยตัวเอง,"331,260","324,267","301,744","283,421","282,910","278,384","279,164","277,419","248,473","95,400"
 สวิตเซอร์แลนด์,รวม,"180,720","202,758","210,056","210,818","219,967","226,412","227,152","225,985","206,087","54,006"
 สวิตเซอร์แลนด์,เดินทางเป็นกลุ่ม,"9,599","13,624","16,792","21,549","21,128","24,143","18,213","17,979","21,811","5,218"
 สวิตเซอร์แลนด์,เดินทางด้วยตัวเอง,"171,121","189,134","193,264","189,269","198,839","202,269","208,939","208,006","184,276","48,788"
สหราชอาณาจักร,รวม,"771,466","800,072","847,678","871,226","896,591","961,471","945,061","954,404","946,774","215,861"
สหราชอาณาจักร,เดินทางเป็นกลุ่ม,"43,005","58,251","74,397","81,063","73,650","84,827","70,190","79,646","115,930","23,743"
สหราชอาณาจักร,เดินทางด้วยตัวเอง,"728,461","741,821","773,281","790,163","822,941","876,644","874,871","874,758","830,844","192,118"
กลุ่มยุโรปตะวันออก,รวม,"229,169","266,699","332,455","355,669","346,352","379,153","445,521","487,669","532,911","211,106"
กลุ่มยุโรปตะวันออก,เดินทางเป็นกลุ่ม,"52,169","62,961","79,608","93,128","76,497","96,682","104,033","108,645","134,229","50,862"
กลุ่มยุโรปตะวันออก,เดินทางด้วยตัวเอง,"177,000","203,738","252,847","262,541","269,855","282,471","341,488","379,024","398,682","160,244"
อเมริกา,รวม,"885,598","1,006,911","1,103,963","1,048,911","1,168,832","1,341,473","1,448,894","1,534,008","1,559,800","311,250"
อเมริกา,เดินทางเป็นกลุ่ม,"70,494","101,430","127,791","126,621","127,597","128,867","109,455","130,290","179,844","38,703"
อเมริกา,เดินทางด้วยตัวเอง,"815,104","905,481","976,172","922,290","1,041,235","1,212,606","1,339,439","1,403,718","1,379,956","272,547"
อาร์เจนตินา,รวม,"12,005","16,895","20,082","20,408","28,050","46,390","62,738","43,485","28,183","12,461"
